OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
CNA US 08/17/18 C28 Equity,12/18/2017,,52.65000153,21.0,0.5265000153,25.4,83.45
CNA US 08/17/18 C28 Equity,12/19/2017,,52.61000061,20.60000038,0.5261000061,25.5,84.9
CNA US 08/17/18 C28 Equity,12/20/2017,,52.51750183,22.5,0.5251750183,22.8,44.25
CNA US 08/17/18 C28 Equity,12/21/2017,,52.38999939,22.29999924,0.5238999939,22.71,45.29
CNA US 08/17/18 C28 Equity,12/22/2017,,52.18999863,22.10000038,0.5218999863,22.5,45.23
CNA US 08/17/18 C28 Equity,12/25/2017,,52.18999863,22.10000038,0.5218999863,22.5,45.23
CNA US 08/17/18 C28 Equity,12/26/2017,,52.52000046,22.29999924,0.5252000045999999,22.8,45.34
CNA US 08/17/18 C28 Equity,12/27/2017,,52.77999878,20.5,0.5277999878,23.0,43.68
CNA US 08/17/18 C28 Equity,12/28/2017,,52.93999863,22.89999962,0.5293999863,23.11,41.82
CNA US 08/17/18 C28 Equity,12/29/2017,,53.15999985,23.10000038,0.5315999985,23.3,40.99
CNA US 08/17/18 C28 Equity,1/1/2018,,53.15999985,23.10000038,0.5315999985,23.3,40.99
CNA US 08/17/18 C28 Equity,1/2/2018,,52.47000122,22.39999962,0.5247000122,22.71,45.2
CNA US 08/17/18 C28 Equity,1/3/2018,,52.68000031,22.60000038,0.5268000031,22.9,45.5
CNA US 08/17/18 C28 Equity,1/4/2018,,53.06000137,23.0,0.5306000137,23.21,42.14
CNA US 08/17/18 C28 Equity,1/5/2018,,53.04000092,22.89999962,0.5304000092,23.3,47.61
CNA US 08/17/18 C28 Equity,1/8/2018,,52.81000137,22.70000076,0.5281000137,23.0,45.34
CNA US 08/17/18 C28 Equity,1/9/2018,,52.99000168,21.70000076,0.5299000168,23.11,41.26
CNA US 08/17/18 C28 Equity,1/10/2018,,52.79000092,22.70000076,0.5279000092,23.0,46.36
CNA US 08/17/18 C28 Equity,1/11/2018,,53.01010132,22.79999924,0.5301010131999999,23.21,45.88
CNA US 08/17/18 C28 Equity,1/12/2018,,53.75,23.60000038,0.5375,24.0,49.05
CNA US 08/17/18 C28 Equity,1/15/2018,,53.75,23.60000038,0.5375,24.0,49.05
CNA US 08/17/18 C28 Equity,1/16/2018,,52.93999863,21.0,0.5293999863,23.21,48.96
CNA US 08/17/18 C28 Equity,1/17/2018,,53.52999878,23.39999962,0.5352999878,23.71,46.39
CNA US 08/17/18 C28 Equity,1/18/2018,,53.88499832,21.39999962,0.5388499832,24.11,49.01
CNA US 08/17/18 C28 Equity,1/19/2018,,53.95999908,23.89999962,0.5395999908,24.11,46.11
CNA US 08/17/18 C28 Equity,1/22/2018,,54.38000107,24.20000076,0.5438000107,24.61,50.96
CNA US 08/17/18 C28 Equity,1/23/2018,,54.99000168,24.60000038,0.5499000168,25.21,50.9
CNA US 08/17/18 C28 Equity,1/24/2018,,54.74000168,24.60000038,0.5474000167999999,24.9,48.9
CNA US 08/17/18 C28 Equity,1/25/2018,,54.75,24.60000038,0.5475,24.9,49.04
CNA US 08/17/18 C28 Equity,1/26/2018,,55.02999878,24.60000038,0.5502999878,25.21,50.53
CNA US 08/17/18 C28 Equity,1/29/2018,,54.43000031,24.39999962,0.5443000030999999,24.61,50.56
CNA US 08/17/18 C28 Equity,1/30/2018,,54.33000183,24.39999962,0.5433000183,24.5,50.62
CNA US 08/17/18 C28 Equity,1/31/2018,,54.13999939,24.29999924,0.5413999939,24.3,49.97
CNA US 08/17/18 C28 Equity,2/1/2018,,54.10499954,23.79999924,0.5410499954,24.4,54.53
CNA US 08/17/18 C28 Equity,2/2/2018,,53.16999817,22.89999962,0.5316999817,23.5,54.38
CNA US 08/17/18 C28 Equity,2/5/2018,,50.33000183,20.0,0.5033000183,20.8,54.51
CNA US 08/17/18 C28 Equity,2/6/2018,,50.02999878,18.89999962,0.5002999878,21.11,66.65
CNA US 08/17/18 C28 Equity,2/7/2018,,50.15000153,19.29999924,0.5015000153,20.8,59.16
CNA US 08/17/18 C28 Equity,2/8/2018,,48.61999893,18.29999924,0.4861999893,20.4,73.53
CNA US 08/17/18 C28 Equity,2/9/2018,,49.31999969,17.79999924,0.49319999690000005,21.0,74.18
CNA US 08/17/18 C28 Equity,2/12/2018,,51.40999985,20.79999924,0.5140999985,22.4,69.94
CNA US 08/17/18 C28 Equity,2/13/2018,,52.11000061,21.79999924,0.5211000061,22.4,56.59
CNA US 08/17/18 C28 Equity,2/14/2018,,52.22000122,22.0,0.5222000122,22.5,55.43
CNA US 08/17/18 C28 Equity,2/15/2018,,53.45000076,23.10000038,0.5345000076,23.71,56.65
CNA US 08/17/18 C28 Equity,2/16/2018,,53.72000122,23.39999962,0.5372000122,24.0,57.66
CNA US 08/17/18 C28 Equity,2/19/2018,,53.72000122,23.39999962,0.5372000122,24.0,57.66
CNA US 08/17/18 C28 Equity,2/20/2018,,53.31999969,23.0,0.5331999969000001,23.61,57.12
CNA US 08/17/18 C28 Equity,2/21/2018,,53.54000092,23.20000076,0.5354000092,23.8,56.88
CNA US 08/17/18 C28 Equity,2/22/2018,,52.81999969,22.60000038,0.5281999969000001,23.11,56.6
CNA US 08/17/18 C28 Equity,2/23/2018,,51.11999893,23.0,0.5111999893,23.61,58.55
CNA US 08/17/18 C28 Equity,2/26/2018,,52.02000046,23.89999962,0.5202000045999999,24.5,60.67
CNA US 08/17/18 C28 Equity,2/27/2018,,51.70999908,23.5,0.5170999908,24.21,60.68
CNA US 08/17/18 C28 Equity,2/28/2018,,51.15000153,23.0,0.5115000153,23.5,55.13
